exp_id,name,description,n_features,train_time_s,infer_time_per_sample_s_est,val__roc_auc,val__pr_auc,val__f1,val__precision,val__recall,val__balanced_accuracy,test_seen__roc_auc,test_seen__pr_auc,test_seen__f1,test_seen__precision,test_seen__recall,test_seen__balanced_accuracy,test_claude_binary__roc_auc,test_claude_binary__pr_auc,test_claude_binary__f1,test_claude_binary__precision,test_claude_binary__recall,test_claude_binary__balanced_accuracy,test_claude_only__llm_predicted_rate,test_claude_only__n,val_tuned_threshold_f1,test_claude_binary__f1_at_val_threshold
1,lr_l2_c1,LogisticRegression C=1.0,60,0.08215158397797495,9.133321000263095e-07,0.940735023153497,0.9132333169885483,0.8814414414414414,0.860056258790436,0.9039172209903917,0.8784183296378418,0.9413825224630791,0.9108722048245497,0.8843683083511777,0.8604166666666667,0.9096916299559471,0.8810572687224669,0.8243043140919021,0.7843828809824183,0.6983432322600813,0.8255728011825573,0.605092091007584,0.7386240520043337,0.5959203496843127,2059,0.55,0.6731391585760518
2,lr_l2_c01,LogisticRegression C=0.1 (stronger regularization),60,0.03161229199031368,5.170840304344892e-07,0.930758015501945,0.899779923860557,0.8705966930265996,0.8474457662701189,0.8950480413895048,0.8669623059866962,0.9310788585068603,0.8953071335113525,0.8764643237486688,0.8484536082474227,0.9063876651982379,0.8722466960352423,0.816111143064739,0.758829526526374,0.697259008315368,0.807994289793005,0.6132177681473456,0.7337486457204767,0.5964060223409422,2059,0.55,0.6690118324272466
3,linearsvc_calibrated,LinearSVC + sigmoid calibration,60,3.3031430420232937,3.2269180519506335e-06,0.9404853794556893,0.9210351569762921,0.8623914495657983,0.7867154174283973,0.9541759053954176,0.8477457501847746,0.945966106464321,0.9280551580769839,0.8657314629258517,0.7941176470588235,0.9515418502202643,0.8524229074889867,0.8623101220876388,0.823982684738922,0.7860026917900403,0.7811663991439273,0.7908992416034669,0.7846695557963164,0.7634774162214667,2059,0.55,0.7647571968595522
4,ridge_classifier,RidgeClassifier (linear margin),60,0.007155124971177429,4.7266599722206593e-07,0.9278054461657295,0.8955491742267375,0.8759385055416518,0.8483379501385041,0.9053954175905395,0.8717664449371767,0.9316574162122302,0.8994174042213491,0.8709506107275624,0.841025641025641,0.9030837004405287,0.8661894273127753,0.8657766668349124,0.8010763955266328,0.7791534696228045,0.8315918869084205,0.7329360780065005,0.7922535211267605,0.7231665857212239,2059,0.5,0.7791534696228045
5,decision_tree,DecisionTree depth 12,60,0.42332775000249967,3.7433195393532516e-07,0.9114182766500111,0.8872339195905841,0.889132821075741,0.8804347826086957,0.8980044345898004,0.8880266075388026,0.9116607880999049,0.8849776041291403,0.8843243243243243,0.8683651804670913,0.9008810572687225,0.8821585903083701,0.8004527079134529,0.8007663749769882,0.7422552664188352,0.8668596237337193,0.6489707475622969,0.7746478873239437,0.661486158329286,2059,0.55,0.7415519399249061
6,rf_constrained,RandomForest n=200 depth=12,60,1.2728180410340428,0.0002907628340180963,0.9903873519686619,0.9903490906266804,0.9530791788856305,0.9454545454545454,0.9608277900960828,0.9526977087952697,0.9893373149100507,0.9905148267427997,0.9438943894389439,0.9428571428571428,0.9449339207048458,0.9438325991189427,0.9120020565094039,0.9133017477796186,0.7298735861610113,0.9456896551724138,0.594257854821235,0.7800650054171181,0.6313744536182613,2059,0.5,0.7298735861610113
7,rf_less_constrained,RandomForest n=400 unrestricted depth,60,2.698657417029608,7.043958397116512e-05,0.9917265237961793,0.9918847171267198,0.9578090303478904,0.9592290585618977,0.9563932002956393,0.9578713968957872,0.9911166527586408,0.9920924608273158,0.9510567296996663,0.9606741573033708,0.9416299559471366,0.9515418502202644,0.9196728835384168,0.9198440659328051,0.7078498293515358,0.9566420664206642,0.5617551462621885,0.7681473456121344,0.6022340942204953,2059,0.5,0.7078498293515358
8,extra_trees,ExtraTrees n=300,60,0.5355957919964567,5.307733209338039e-05,0.9943319409005418,0.9945780841621227,0.9601753744976251,0.9494219653179191,0.9711751662971175,0.9597191426459719,0.9936231296939588,0.9941478929445409,0.9587231700605393,0.9581958195819582,0.9592511013215859,0.9587004405286343,0.9060080124047896,0.9058413991716012,0.6692227256883931,0.9384164222873901,0.5200433369447454,0.7429577464788732,0.5682370082564352,2059,0.55,0.6164030893710923
9,xgb_conservative,XGBoost conservative,60,0.24756083299871534,1.2262500822544097e-06,0.9906850671006207,0.9914074054038909,0.9536423841059603,0.9494505494505494,0.9578713968957872,0.9534368070953436,0.9894810446544663,0.9904542273751916,0.9473106476399561,0.9442013129102844,0.9504405286343612,0.947136563876652,0.9226194319010151,0.9284767573085483,0.7739660147483167,0.9481539670070699,0.6538461538461539,0.8090465872156013,0.6867411364740165,2059,0.6,0.731986531986532
10,xgb_richer,XGBoost richer,60,1.1098380830371752,1.8466680776327848e-06,0.994760759943822,0.9952154431823482,0.9651076466221232,0.9694258016405667,0.9608277900960828,0.9652623798965263,0.9946183217217489,0.9951712567214985,0.9656319290465631,0.9720982142857143,0.9592511013215859,0.9658590308370043,0.9358796331619185,0.9411701437009028,0.7676767676767676,0.9632052330335241,0.638136511375948,0.8068797399783315,0.6745993200582807,2059,0.6,0.7467467467467468
11,hist_gradient_boosting,sklearn HistGradientBoosting,60,1.3769760000286624,1.5125249978154897e-05,0.9947072258466991,0.9953943543087299,0.9658753709198813,0.9694713328369322,0.9623059866962306,0.9660014781966002,0.9941925905800617,0.9947738844776726,0.9634551495016611,0.9688195991091314,0.9581497797356828,0.9636563876651982,0.9331156117469882,0.9394687021053423,0.762684124386252,0.9636062861869313,0.6310942578548212,0.8036294691224268,0.6673142302088393,2059,0.5,0.762684124386252
12,gradient_boosting,sklearn GradientBoostingClassifier,60,17.897571916982997,2.191749983467162e-06,0.9895297138821015,0.9903597778126,0.9503858875413451,0.9451754385964912,0.9556541019955654,0.9501108647450112,0.9879327660152537,0.9894291867132804,0.9428571428571428,0.9407894736842105,0.9449339207048458,0.9427312775330396,0.911257569586198,0.9197124681634279,0.76150356448477,0.9475806451612904,0.6365113759479957,0.800650054171181,0.6687712481787276,2059,0.55,0.7423841059602649
13,adaboost,AdaBoost shallow trees,60,12.496120834024623,1.3387000071816147e-05,0.9844155688079759,0.9842972450547507,0.9442186922792759,0.9438700147710487,0.9445676274944568,0.9441980783444198,0.9838379844359487,0.9844720199968133,0.9343629343629344,0.9359116022099447,0.9328193832599119,0.9344713656387664,0.8859315154197122,0.898477457261929,0.7128978224455611,0.9341527655838455,0.5763813651137595,0.7678764897074757,0.6134045653229723,2059,0.5,0.7128978224455611
14,sgd_log,SGDClassifier log_loss,60,0.12785749998874962,7.835819851607084e-07,0.9365790291646114,0.9113093791545438,0.8781725888324873,0.8619217081850534,0.8950480413895048,0.8758314855875831,0.9354598866657611,0.9025068076691705,0.8799138395261173,0.8609062170706007,0.8997797356828194,0.8772026431718062,0.8260174850251606,0.7848798823565223,0.7015673981191223,0.8325892857142857,0.6061755146262189,0.7421451787648972,0.5944633317144244,2059,0.55,0.6748864373783258
15,bagging_dt,Bagging shallow DecisionTrees,60,3.5984270829940215,2.932325005531311e-05,0.9768779133064461,0.9753202608731313,0.9259934378417791,0.9136690647482014,0.9386548410938654,0.9249815225424981,0.9780330008344815,0.9803969907565511,0.9191256830601093,0.9121475054229935,0.9262114537444934,0.9185022026431718,0.888997938795369,0.9025595367106483,0.7739511584220413,0.9169139465875371,0.6695557963163596,0.804442036836403,0.6896551724137931,2059,0.5,0.7739511584220413
16,knn_15,KNeighbors k=15,60,0.006645624991506338,2.063599997200072e-05,0.9812849166588824,0.9769903442892455,0.9087193460490464,0.8427037271004422,0.9859571322985957,0.900960827790096,0.9832885365522327,0.9798221699590967,0.9149045899948427,0.8603297769156159,0.9768722466960352,0.9091409691629956,0.8751769513656653,0.8658128765504054,0.7704780542353928,0.7960716348931254,0.7464788732394366,0.7776273022751896,0.7722195240407965,2059,0.75,0.6548067054396168
17,lr_structural_subset,LogisticRegression on length+surface+punctuation indices,26,0.038065291999373585,3.9841595571488144e-07,0.8812373368643986,0.845026511668866,0.8194684156023473,0.7687823834196891,0.877309682187731,0.8067257945306725,0.888748326185255,0.8488173108989239,0.821300563236047,0.7674641148325358,0.8832599118942731,0.8078193832599119,0.7747312276023002,0.6991842819683052,0.6869266055045872,0.7295980511571255,0.6489707475622969,0.704225352112676,0.6206896551724138,2059,0.55,0.6530612244897959
18,lr_lexical_diversity_only,LogisticRegression on lexical_diversity block only,10,0.03366766596445814,3.227499546483159e-07,0.6323554074081359,0.6057233994231652,0.5894816496405599,0.603875968992248,0.5757575757575758,0.599039172209904,0.6570383910031244,0.6333725398434156,0.6156424581005586,0.6247165532879818,0.6068281938325991,0.6211453744493391,0.34576751701139413,0.44457385596661714,0.3373493975903614,0.4413309982486865,0.27302275189599134,0.4637053087757313,0.32637202525497816,2059,0.30000000000000004,0.48213903743315506
19,xgb_full_ablation_capstone,Same as xgb_richer (#10); separate row for ablation suite reporting,60,1.1026485420297831,2.1949158981442453e-06,0.994760759943822,0.9952154431823482,0.9651076466221232,0.9694258016405667,0.9608277900960828,0.9652623798965263,0.9946183217217489,0.9951712567214985,0.9656319290465631,0.9720982142857143,0.9592511013215859,0.9658590308370043,0.9358796331619185,0.9411701437009028,0.7676767676767676,0.9632052330335241,0.638136511375948,0.8068797399783315,0.6745993200582807,2059,0.6,0.7467467467467468
